"date","value","volume"
"2013-04-03","3400","2"
"2013-04-05","3400","10"
"2013-04-15","3398","28858"
"2013-04-17","3400","12"
"2013-04-18","3300","14"
"2013-04-25","3300","500"
"2013-05-16","3300","1000"
"2013-05-17","3299","1"
"2013-05-20","3050","840"
"2013-05-21","3050","283"
"2013-05-22","3050","2295"
"2013-05-23","3050","4"
"2013-05-27","3049","200"
"2013-06-03","3050","36"
"2013-06-04","3180","1815"
"2013-06-07","3133","612"
"2013-06-11","3180","85"
"2013-06-21","3182","5"
"2013-06-24","3188","806"
"2013-07-01","3182","4"
"2013-07-10","3150","2222"
"2013-07-17","3130","123"
"2013-07-25","3100","442"
"2013-08-07","3100","20"
"2013-08-12","3000","58"
"2013-08-21","3000","15"
"2013-08-23","3000","100"
"2013-09-02","3000","59651"
"2013-09-03","3090","103"
"2013-09-17","3000","301"
"2013-09-18","3000","10"
"2013-09-23","3000","10"
"2013-09-30","3000","10"
"2013-10-01","3000","30"
"2013-10-04","2950","16210"
"2013-10-07","3000","5"
"2013-10-29","2950","3267"
"2013-10-31","2953","13"
"2013-11-11","2800","220"
"2013-11-12","2800","350"
"2013-11-14","2800","45"
"2013-11-15","2751","260"
"2013-11-18","2760","122"
"2013-11-19","2750","36"
"2013-11-22","2700","20"
"2013-11-25","2700","10"
"2013-11-26","2700","40"
"2013-11-27","2700","252"
"2013-11-29","2555","70"
"2013-12-02","2520","27"
"2013-12-03","2700","88"
"2013-12-04","2504","116"
"2013-12-06","2500","15"
"2013-12-09","2405","105"
"2013-12-10","2400","100"
"2013-12-11","2400","20"
"2013-12-12","2226","1550"
"2013-12-16","2150","1"
"2013-12-19","2424","1521"
"2013-12-20","2400","3990"
"2013-12-24","2268","180"
"2013-12-26","2400","100"
"2013-12-30","2400","370"
"2013-12-31","2400","360"
"2014-01-02","2400","250"
"2014-01-03","2400","847"
"2014-01-06","2400","305"
"2014-01-07","2400","290"
"2014-01-08","2400","404"
"2014-01-09","2400","148"
"2014-01-10","2400","138"
"2014-01-15","2400","220"
"2014-01-16","2208","6240"
"2014-01-20","2400","240"
"2014-01-23","2430","3959"
"2014-01-27","2450","40"
"2014-02-05","2450","33"
"2014-02-06","2500","12"
"2014-02-07","2500","1"
"2014-02-11","2500","8"
"2014-02-18","2500","30"
"2014-02-19","2500","26"
"2014-02-20","2800","353"
"2014-02-26","2411","90"
"2014-02-28","2200","830"
"2014-03-05","2200","100"
"2014-03-06","2530","30"
"2014-03-13","2660","10"
"2014-03-14","2692","165"
"2014-04-02","2400","1"
"2014-04-03","2600","5"
"2014-04-04","2689","5"
"2014-04-08","2690","438"
"2014-04-09","2690","462"
"2014-04-11","2690","600"
