"date","value","volume"
"2020-09-17","1260","19972"
"2020-09-18","1306","6077"
"2020-09-21","1308","3451"
"2020-09-22","1318","10855"
"2020-09-23","1327","16017"
"2020-09-24","1389","1156"
"2020-09-25","1449","1741"
"2020-09-28","1423","9828"
"2020-09-29","1405","10461"
"2020-09-30","1380","6427"
"2020-10-01","1347","2072"
"2020-10-02","1346","118"
"2020-10-05","1344","222759"
"2020-10-06","1349","1222"
"2020-10-07","1348","23299"
"2020-10-08","1376","10033"
"2020-10-09","1370","963"
"2020-10-12","1368","6878"
"2020-10-13","1368","8628"
"2020-10-14","1380","3138"
"2020-10-16","1380","3072"
"2020-10-19","1380","5034"
"2020-10-20","1378","696"
"2020-10-21","1378","549"
"2020-10-22","1378","110"
"2020-10-23","1392","19025"
"2020-10-26","1379","5528"
"2020-10-27","1388","3887"
"2020-10-28","1398","3709"
"2020-10-29","1371","6966"
"2020-10-30","1350","66809"
"2020-11-02","1358","1041"
"2020-11-03","1380","4332"
"2020-11-04","1398","14322"
"2020-11-05","1397","5947"
"2020-11-06","1400","17356"
"2020-11-09","1401","2769"
"2020-11-10","1422","6988"
"2020-11-11","1420","720"
"2020-11-12","1383","324"
"2020-11-13","1399","1974"
"2020-11-17","1397","145"
"2020-11-18","1394","1258"
"2020-11-19","1407","1557"
"2020-11-20","1400","362"
"2020-11-23","1399","29"
"2020-11-24","1406","1232"
"2020-11-25","1406","176"
"2020-11-27","1399","1197"
"2020-11-30","1401","1227"
"2020-12-01","1400","1145"
"2020-12-02","1399","280"
"2020-12-03","1380","308"
"2020-12-04","1392","43"
"2020-12-07","1390","64388"
"2020-12-08","1379","1064"
"2020-12-09","1379","111626"
"2020-12-10","1380","298"
"2020-12-11","1379","719"
"2020-12-14","1449","8330"
"2020-12-15","1448","34036"
"2020-12-16","1420","867"
"2020-12-17","1502","102392"
"2020-12-18","1635","38494"
"2020-12-21","1658","11786"
"2020-12-22","1691","15680"
"2020-12-23","1700","9037"
"2020-12-24","1627","26431"
"2020-12-25","1674","82874"
"2020-12-28","1693","44483"
"2020-12-30","1784","101277"
"2020-12-31","1758","9482"
"2021-01-04","1696","3945"
"2021-01-05","1699","1419"
"2021-01-06","1677","2962"
"2021-01-07","1694","2004"
"2021-01-08","1660","2904"
"2021-01-11","1649","2498"
"2021-01-12","1650","507"
"2021-01-13","1628","3898"
"2021-01-14","1639","4045"
"2021-01-15","1727","59703"
"2021-01-18","1983","68603"
"2021-01-19","2237","75884"
"2021-01-20","2459","65945"
"2021-01-21","2771","114668"
"2021-01-22","3173","90631"
"2021-01-25","3198","36032"
"2021-01-26","3108","148406"
"2021-01-27","3110","79800"
"2021-01-28","3000","204488"
"2021-01-29","3000","217024"
"2021-02-01","3000","249502"
"2021-02-02","3000","152034"
"2021-02-03","3000","212807"
"2021-02-04","3001","587904"
"2021-02-05","3164","207864"
"2021-02-08","3432","78110"
"2021-02-09","3494","182707"
"2021-02-10","3529","69490"
"2021-02-11","4005","79410"
"2021-02-15","4345","29434"
"2021-02-16","4996","73153"
"2021-02-17","5595","47519"
"2021-02-18","6400","36116"
"2021-02-19","6825","64452"
"2021-02-22","7270","126542"
"2021-02-23","8245","114282"
"2021-02-24","9475","47385"
"2021-02-25","10680","68618"
"2021-02-26","10580","134390"
"2021-03-01","9550","66289"
"2021-03-02","9590","156979"
"2021-03-03","10120","35970"
"2021-03-04","9930","59240"
"2021-03-05","9910","33085"
"2021-03-09","9920","15893"
"2021-03-10","9955","22087"
"2021-03-11","9920","26269"
"2021-03-12","10000","42758"
"2021-03-15","10090","44875"
"2021-03-16","9980","11572"
"2021-03-17","9990","38221"
"2021-03-18","10590","64527"
"2021-03-19","10980","53055"
"2021-03-22","10790","149214"
"2021-03-23","10340","21410"
"2021-03-24","10370","29270"
"2021-03-25","10190","7865"
"2021-03-26","10190","6554"
"2021-03-29","10230","8898"
"2021-03-30","10230","14267"
"2021-03-31","10180","11557"
"2021-04-01","10020","4636"
"2021-04-02","10000","1591"
"2021-04-05","9995","19258"
"2021-04-06","9990","112632"
"2021-04-07","9985","110219"
"2021-04-07","9985","110219"
"2021-04-08","9925","130155"
"2021-04-09","9935","103806"
"2021-04-12","9990","102214"
"2021-04-13","9990","99024"
"2021-04-14","9970","96000"
"2021-04-15","9970","78831"
"2021-04-16","10450","216716"
"2021-04-19","11980","370514"
"2021-04-20","12500","144205"
"2021-04-21","12470","9009"
"2021-04-22","12750","7181"
"2021-04-23","12730","3803"
"2021-04-26","11430","6116"
"2021-04-27","11240","9926"
"2021-04-28","11190","5358"
"2021-04-29","11080","7513"
"2021-04-30","11150","12652"
"2021-05-03","12470","108273"
"2021-05-04","11880","50785"
"2021-05-05","11850","49812"
"2021-05-06","11990","55377"
"2021-05-07","11980","17389"
"2021-05-10","11740","5835"
"2021-05-11","11630","5590"
"2021-05-12","11380","2483"
