"date","value","volume"
"2025-01-09","1235","6653"
"2025-01-10","1242","41392"
"2025-01-13","1262","130530"
"2025-01-14","1276","80783"
"2025-01-15","1273","35433"
"2025-01-16","1281","23775"
"2025-01-17","1273","80775"
"2025-01-20","1285","30398"
"2025-01-21","1287","58675"
"2025-01-22","1286","7578"
"2025-01-23","1286","11997"
"2025-01-24","1285","88589"
"2025-01-27","1289","39375"
"2025-01-28","1284","24366"
"2025-01-29","1289","65170"
"2025-01-30","1284","7761"
"2025-01-31","1288","37619"
"2025-02-03","1285","10937"
"2025-02-04","1287","42050"
"2025-02-05","1290","28444"
"2025-02-06","1290","139566"
"2025-02-07","1292","111198"
"2025-02-10","1296","40176"
"2025-02-11","1294","21805"
"2025-02-12","1293","23701"
"2025-02-13","1291","32661"
"2025-02-14","1368","165433"
"2025-02-17","1403","227771"
"2025-02-18","1198","252208"
"2025-02-19","1160","169615"
"2025-02-20","1196","60511"
"2025-02-21","1199","17883"
"2025-02-24","1185","59020"
"2025-02-25","1185","27629"
"2025-02-26","1180","21886"
"2025-02-27","1180","26695"
"2025-02-28","1184","48225"
"2025-03-06","1182","5317"
"2025-03-07","1181","16007"
"2025-03-10","1173.96","6485"
"2025-03-11","1155","37945"
"2025-03-12","1155","28756"
"2025-03-13","1156","8633"
"2025-03-14","1156","12169"
"2025-03-17","1157","5235"
"2025-03-18","1155","9853"
"2025-03-19","1154","34160"
"2025-03-20","1150","25046"
"2025-03-21","1153","54725"
"2025-03-24","1132","7844"
"2025-03-25","1059","52869"
"2025-03-26","1030","42398"
"2025-03-27","1043","34685"
"2025-03-28","1056","14073"
"2025-03-31","1044","16426"
"2025-04-01","1028","25628"
"2025-04-02","1024","18895"
"2025-04-03","1020","12998"
"2025-04-04","1027","7069"
"2025-04-07","1028","4120"
"2025-04-08","1023","33511"
"2025-04-09","1022","12976"
"2025-04-10","1032","130722"
"2025-04-11","1048","6874"
"2025-04-14","1050","3178"
"2025-04-15","1044","18596"
"2025-04-16","1042","5849"
"2025-04-17","1037","7146"
"2025-04-18","1029","35963"
"2025-04-21","1078","44758"
"2025-04-22","1060","90155"
"2025-04-23","1052","24994"
"2025-04-24","1052","33074"
"2025-04-25","1055","9317"
"2025-04-28","1056","35008"
"2025-04-29","1060","27820"
"2025-04-30","1059","24696"
"2025-05-01","1057","21762"
"2025-05-02","1055","29566"
"2025-05-05","1056","13360"
"2025-05-06","1052","15625"
"2025-05-07","1050","85960"
"2025-05-08","1044","47634"
"2025-05-09","1038","27992"
"2025-05-12","1033","30649"
"2025-05-13","1033","106447"
"2025-05-14","1032","36939"
"2025-05-15","1028","51836"
"2025-05-16","1027","11373"
"2025-05-19","1030","194115"
"2025-05-20","1030","9120"
"2025-05-21","1026","13967"
"2025-05-22","1031","1548"
"2025-05-23","1028","14489"
"2025-05-26","1028","19419"
"2025-05-27","1026","21643"
"2025-05-28","1025","26025"
"2025-05-29","1025","5099"
"2025-05-30","1024","12158"
"2025-06-02","1019","6015"
"2025-06-03","1014","20017"
"2025-06-04","1018","6720"
"2025-06-05","1020","3954"
"2025-06-06","1020","23748"
"2025-06-09","1022","37839"
"2025-06-10","1020","4151"
"2025-06-12","1027","21284"
"2025-06-13","1021","16203"
"2025-06-16","1029","24192"
"2025-06-17","1028","5388"
"2025-06-18","1020","34601"
"2025-06-19","1020","6496"
"2025-06-20","1020","8368"
"2025-06-23","1024","35210"
"2025-06-24","1020","22391"
"2025-06-25","1020","2576"
"2025-06-26","1024","19465"
"2025-06-27","1025","1275"
"2025-06-30","1025","11775"
"2025-07-01","1032","7679"
"2025-07-02","1068","8065"
"2025-07-03","1107","39289"
"2025-07-04","1106","12539"
"2025-07-07","1075","72004"
"2025-07-08","1051","7455"
"2025-07-09","1098","4100"
"2025-07-18","1100","51314"
"2025-07-21","1091","51633"
"2025-07-22","1065","19243"
"2025-07-23","1056","7595"
"2025-07-24","1052","11228"
"2025-07-25","1051","27957"
"2025-07-28","1059","34763"
"2025-07-29","1063","146582"
"2025-07-30","1063","27260"
"2025-07-31","1060","14261"
"2025-08-01","1059","1183"
"2025-08-04","1050","10955"
"2025-08-05","1055","4998"
"2025-08-06","1054","3446"
"2025-08-07","1054","28652"
"2025-08-08","1052","2723"
"2025-08-11","1052","26258"
"2025-08-12","1046","7327"
"2025-08-13","1050","6347"
"2025-08-14","1051","2663"
"2025-08-15","1050","18717"
"2025-08-18","1052","12902"
"2025-08-19","1061","15800"
"2025-08-20","1056","6760"
"2025-08-21","1051","25146"
"2025-08-22","1050","18687"
"2025-08-25","1050","8403"
"2025-08-26","1047","23784"
"2025-08-27","1048","25126"
"2025-08-28","1049","765823"
"2025-08-29","1035","22885"
"2025-09-01","1051","2630"
"2025-09-02","1051","36485"
"2025-09-03","1050","6108"
"2025-09-04","1053","31649"
"2025-09-05","1052","4815"
"2025-09-08","1050","35799"
"2025-09-09","1052","34443"
"2025-09-10","1052","5181"
"2025-09-11","1053","24586"
"2025-09-12","1052","35407"
"2025-09-15","1053","60129"
"2025-09-16","1070","15280"
"2025-09-17","1063","69067"
"2025-09-18","1066","13242"
"2025-09-19","1067","11045"
"2025-09-22","1065","8910"
"2025-09-23","1062","33431"
"2025-09-24","1064","32569"
"2025-09-25","1062","8567"
"2025-09-26","1059","49022"
"2025-09-29","1059","20970"
"2025-09-30","1057","25002"
"2025-10-01","1057","30278"
"2025-10-02","1060","225857"
"2025-10-03","1060","93691"
"2025-10-06","1085","47134"
"2025-10-07","1106","11333"
"2025-10-08","1110","24800"
"2025-10-09","1120","5751"
"2025-10-10","1101","57624"
